Provider,Region,UTC,Batch,OCR,File,Time
GCP,us-central1,Midday,1,True,image_ping.png,0.417880719
GCP,us-central1,Midday,1,False,image_ping.png,0.061220679
GCP,us-central1,Midday,1,True,image_full.png,0.792766361
GCP,us-central1,Midday,1,False,image_full.png,0.653281318
GCP,us-central1,Midday,2,True,image_ping.png,0.126686337
GCP,us-central1,Midday,2,False,image_ping.png,0.005983331
GCP,us-central1,Midday,2,True,image_full.png,0.535971759
GCP,us-central1,Midday,2,False,image_full.png,0.202816651
GCP,us-central1,Midday,3,True,image_ping.png,0.287966313
GCP,us-central1,Midday,3,False,image_ping.png,0.006223453
GCP,us-central1,Midday,3,True,image_full.png,0.75736865
GCP,us-central1,Midday,3,False,image_full.png,0.165086992
GCP,us-central1,Midday,4,True,image_ping.png,0.268927017
GCP,us-central1,Midday,4,False,image_ping.png,0.007861843
GCP,us-central1,Midday,4,True,image_full.png,0.68070842
GCP,us-central1,Midday,4,False,image_full.png,0.169744383
GCP,us-central1,Midday,5,True,image_ping.png,0.280212445
GCP,us-central1,Midday,5,False,image_ping.png,0.006774159
GCP,us-central1,Midday,5,True,image_full.png,0.215938831
GCP,us-east1,Midday,1,True,image_ping.png,0.280643886
GCP,us-central1,Midday,5,False,image_full.png,0.174649977
GCP,us-east1,Midday,1,False,image_ping.png,0.204044617
GCP,us-east1,Midday,1,True,image_full.png,0.20036687
GCP,us-east1,Midday,1,False,image_full.png,4.104804506
GCP,us-east1,Midday,2,True,image_ping.png,0.067663315
GCP,us-east1,Midday,2,False,image_ping.png,0.030402373
GCP,us-east1,Midday,2,True,image_full.png,0.167265792
GCP,us-east1,Midday,2,False,image_full.png,3.625787609
GCP,us-east1,Midday,3,True,image_ping.png,0.205581553
GCP,us-east1,Midday,3,False,image_ping.png,0.089104845
GCP,us-east1,Midday,3,True,image_full.png,0.116385577
GCP,us-east1,Midday,3,False,image_full.png,2.682396615
GCP,us-east1,Midday,4,True,image_ping.png,0.13063435
GCP,us-east1,Midday,4,False,image_ping.png,0.004122726
GCP,us-east1,Midday,4,True,image_full.png,0.122335337
GCP,us-east1,Midday,4,False,image_full.png,3.883980445
GCP,us-east1,Midday,5,True,image_ping.png,0.160279755
GCP,us-east1,Midday,5,False,image_ping.png,0.004242329
GCP,us-east1,Midday,5,True,image_full.png,0.092890638
GCP,us-east1,Midday,5,False,image_full.png,2.615082662
GCP,us-west4,Midday,1,True,image_ping.png,0.796604597
GCP,us-west4,Midday,1,False,image_ping.png,0.104109031
GCP,us-west4,Midday,1,True,image_full.png,1.695624015
GCP,us-west4,Midday,1,False,image_full.png,3.709836816
GCP,us-west4,Midday,2,True,image_ping.png,0.637897129
GCP,us-west4,Midday,2,False,image_ping.png,0.006505199
GCP,us-west4,Midday,2,True,image_full.png,1.79877109
GCP,us-west4,Midday,2,False,image_full.png,2.600580691
GCP,us-west4,Midday,3,True,image_ping.png,0.698453445
GCP,us-west4,Midday,3,False,image_ping.png,0.004694887
GCP,us-west4,Midday,3,True,image_full.png,1.592203884
GCP,us-west4,Midday,3,False,image_full.png,2.708680593
GCP,us-west4,Midday,4,True,image_ping.png,0.680696305
GCP,us-west4,Midday,4,False,image_ping.png,0.004688344
GCP,us-west4,Midday,4,True,image_full.png,0.671405101
GCP,us-west4,Midday,4,False,image_full.png,2.016574222
GCP,us-west4,Midday,5,True,image_ping.png,0.680542651
GCP,us-west4,Midday,5,False,image_ping.png,0.004364744
GCP,us-west4,Midday,5,True,image_full.png,0.797418151
GCP,us-west4,Midday,5,False,image_full.png,2.116098285
GCP,us-east4,Midday,1,True,image_ping.png,0.241063599
GCP,us-east4,Midday,1,False,image_ping.png,0.194485227
GCP,us-east4,Midday,1,True,image_full.png,0.299119985
GCP,us-west1,Midday,1,True,image_ping.png,0.494745492
GCP,us-west1,Midday,1,False,image_ping.png,0.088370699
GCP,us-east4,Midday,1,False,image_full.png,3.896013212
GCP,us-west1,Midday,1,True,image_full.png,0.751631643
GCP,us-east4,Midday,2,True,image_ping.png,0.224967915
GCP,us-west1,Midday,1,False,image_full.png,3.244590528
GCP,us-east4,Midday,2,False,image_ping.png,0.005909306
GCP,us-west1,Midday,2,True,image_ping.png,0.688282412
GCP,us-east4,Midday,2,True,image_full.png,0.285096113
GCP,us-east4,Midday,2,False,image_full.png,2.893700218
GCP,us-west1,Midday,2,False,image_ping.png,0.028308614
GCP,us-east4,Midday,3,True,image_ping.png,0.043999489
GCP,us-west1,Midday,2,True,image_full.png,0.754119318
GCP,us-east4,Midday,3,False,image_ping.png,0.05134439
GCP,us-west1,Midday,2,False,image_full.png,2.350782408
GCP,us-west1,Midday,3,True,image_ping.png,0.705946805
GCP,us-west1,Midday,3,False,image_ping.png,0.005528685
GCP,us-west1,Midday,3,True,image_full.png,1.679188716
GCP,us-west1,Midday,3,False,image_full.png,2.726465381
GCP,us-west1,Midday,4,True,image_ping.png,0.749797874
GCP,us-east4,Midday,3,True,image_full.png,0.259238785
GCP,us-west1,Midday,4,False,image_ping.png,0.005232133
GCP,us-east4,Midday,3,False,image_full.png,2.83328826
